"0","Demon","1","6","true"
"1","DoomBot","6","5","true"
"2","Drone","1","1","true"
"3","Mjolnr","0","0","true"
"4","Ninja","1","-2","true"
"5","Power Stone","1","3","true"
"6","Reality Stone","1","1","true"
"7","Rock","1","0","true"
"8","Soul Stone","1","1","true"
"9","Space Stone","1","1","true"
"10","Squirrel","1","1","true"
"11","Symbiote","4","0","true"
"12","Tiger Spirit","5","7","true"
"13","Time Stone","1","1","true"
"14","Vibranium","1","4","true"
"15","Widow's Bite","0","0","true"
"16","Winter Soldier","2","6","true"
"17","The Void","4","-10","true"
"18","Pig","0","0","true"
